question_title_list,answer_count_list,no_of_view_list,anonymity_label,non_anonymous_answer_count,anonymous_answer_count
What effects can vitamin D deficiency have? I have a throat infection and sinusitis. My father says this vitamin deficiency might not have much relation with the infection and Sinusitis you have.,2,607,0,2,0
What is the Itai Itai disease?,5,511,0,5,0
"If the healthy people all run amok, while keeping the elderly quarantined. Most healthy people will get it, and barely any will die. Meanwhile, after several weeks the majority of Americans'll have immunity creating herd immunity. Could this work?",3,674,0,3,0
"What are one’s chances of getting COVID-19 if they are exposed to an infected person in a casual contact situation, but take all the right precautions: wear a mask, maintain 6-ft distance, don’t touch their face and wash/sanitize their hands after?",1,4178,0,1,0
What is the role of prebiotics in building immunity?,1,180,0,1,0
Has traditional Chinese Medicine helped you recover from coronavirus?,1,405,0,1,0
What vegetables heal more than high blood pressure and diabetic medicine?,3,567,0,3,0
How long after eating undercooked bacon will I get sick?,1,137,0,1,0
"Should American tourists be banned from using the National Health Service (NHS) in the U.K., as they refuse to have one in their own country?",21,3545,0,21,0
How do you know your diarrhea is not caused by covid-19?,5,1251,0,4,1
"Many experts say that there will be a big wave of COVID in the fall. Together with the flu and common cold, and school starting, the hospitals will get overwhelmed. Shouldn't more people get infected NOW (slowly) to flatten the curve in the future?",6,2351,0,6,0
Can diabetes disease be treated by physiotherapy?,1,818,0,1,0
What’s the bad thing about 6 hands massages?,1,1004,0,1,0
Does every medicine have side effects?,2,428,0,2,0
What are the main causes of dandruff?,1,911,0,1,0
It stands to reason that essential workers are getting ill at a much greater rate than those of us that are locked down. Are there any good studies that delve into what professions are getting sick and at what rates during the SARS-CoV-2 pandemic?,1,609,0,1,0
Why can someone with a strong immune system and no family history of a certain kind of cancer get cancer? What causes those gene mutations?,1,423,0,1,0
"After a severe constipation, the pain is still there when someone goes for poop and there is no bleeding, no outgrowth, only pain. How do I treat this?",1,536,0,1,0
Is there any health insurance that covers maternity without a waiting period?,3,93,0,3,0
Why is covid-19 affecting wealthy countries more than developing countries? It seems that richer nations with better health systems are suffering far higher fatality rates?,18,4960,0,18,0
"After severe constipation, pain is still there from where the stool comes out. What is the treatment to cure this?",2,306,0,2,0
"What is the relation with black coffee, mouth breathing, and dry throat after waking up?",1,262,0,1,0
What is the difference between white and yellow vitamin C tablets?,1,207,0,1,0
"Brazil's president said, ""coronavirus is just little flu"". Does Brazil have something special for the treatment of coronavirus?",4,330,0,4,0
"Why do we measure a child's ideal healthy weight based on a percentile of their BMI, but not an adult’s?",3,1840,0,3,0
What is the difference between a ventilator and a perfused airway?,1,227,0,1,0
Is eating a frozen pizza bought from Mart healthy?,3,486,0,3,0
"Why did I faint the other day, and bust my butt and elbows? I currently have hypertension. I took my blood pressure medicine as normal every night before I go to bed. The next day I woke up, went to kitchen, and fainted, T-shirt soaked with sweat",2,1002,0,2,0
Who is Carolyn Hartz?,1,233,0,1,0
"What are the best methods, remedies, pills, or any other way to reduce facial fat quickly?",1,549,0,1,0
Can arthritis really be cured by oil pulling?,1,375,0,1,0
What is good news for the world about a coronavirus vaccine?,2,789,0,2,0
Which seeds are good for the prostate?,1,222,0,1,0
Is it bad to lose weight if you are not fat?,11,2989,0,11,0
What herbal tea is good for mucus?,1,390,0,0,1
"If you have a visual disturbance that is the same with your eyes open and closed, does that mean it’s migraine related?",2,256,0,2,0
"What is the ""genius germs"" hypothesis?",1,902,0,1,0
What should I do if I keep waking up with a tingling nose and seconds later see the same bug on my pillow?,5,331,0,5,0
"During the coronavirus pandemic, why don't the engineers who designed the ventilators, heart monitors, defibrillators, etc., get the same recognition as ""heroes that save lives"" like doctors do?",7,797,0,7,0
"Does ENT stand for ears, nose, and throat as in a doctor who specializes in those areas of the body?",5,617,0,5,0
Is it healthier to drink effervescent water or not? Why?,1,1118,0,1,0
3-4 hours after waking up I feel extremely tired sometimes passing out (even standing) but if I manage to stay awake for 6-8 hours after waking up I am fine. Only between that 3-8 hour window after waking up in the morning is when I feel tired. why?,3,1151,0,3,0
What is the prospect of a dog heart problem?,1,721,0,1,0
"How bad is it when the longest amount of hours I ever slept, without waking up, is 36 hours, and at other times, it is 22-24 hours?",1,268,0,1,0
What foods reduce the effects of smoking?,4,1955,0,4,0
What probiotics should I give to build my child's immunity?,6,398,0,6,0
"Is it normal, after a low BP episode (systolic <100), to experience severe headaches?",1,235,0,1,0
How is hand sanitizer used to overcome the symptoms of coronavirus?,4,271,0,4,0
"Is it a problem that I only eat once a day late at night and I eat a lot of food at that one time, I’ve been doing this for about 2 years after intermittent fasting but eat regularly during school days is this a problem?",1,726,0,1,0
"Why doesn't common sense tell you not to drink or inject chemicals and disinfectants? Also, how can you believe so strongly in this man that it overrides common sense?",4,1479,0,4,0
How did you successfully limit your dairy intake?,1,421,0,1,0
What is the fastest way to relieve constipation in the toilet?,3,2903,0,3,0
How come as a diabetic I can’t stop the desire to drink water even though my stomach is bloated?,3,580,0,3,0
Does soft mattress cause back pain?,2,567,0,2,0
What are the ways you use your time during quarantine?,5,1007,0,5,0
How long after taking CODEINE can I safely take my CLONAZEPAM? (How many hours after codeine is it safe to take your benzodiazepine),2,1904,0,2,0
What's wrong with the US government to control the corona outbreak?,3,265,0,3,0
"Hey, I m 18 and I m having a weight of 86 kg with a height of 6 feet, should I start omad diet because outdoor cardio is not possible during quarantine. Will their be any side effects of omad diet on my body?",1,565,0,1,0
3. From where can I book the cheapest full body check up for my family?,1,273,0,1,0
"What if, instead of respiratory symptoms, asymmetric COVID-19 were triggering other diseases, such as profound vascular changes?",2,1036,0,2,0
What is a good over-the-counter remedy for muscle tension and spasms? What do you recommend?,1,353,0,1,0
Is 69 a good resting heart rate?,2,632,0,2,0
How can I be healthy in my whole life?,4,900,0,4,0
"I know about subcutaneous, inter muscular, & visceral fat, but can fat be around the muscles?",1,581,0,1,0
What are the benefits of Ramadan fasting as analysed by independent non-Muslim scientists?,1,418,0,1,0
What are the main causes of hip inflammation?,1,507,0,1,0
"Does salt and pepper expire? If so, when should I toss it/them out?",8,908,0,8,0
How corrupt is the WHO (World Health Organization) as proved by its concealment of the seriousness of the China virus?,16,2840,0,16,0
Do you need more sleep after a hard workout?,3,896,0,3,0
Is consuming turmeric harmful for intestinal bacteria?,1,321,0,1,0
How do you know what you got food poisoning from?,1,300,0,1,0
Is Nature Clarity Keto a dietary enhancement to reduce weight in the body?,2,657,0,1,1
Is Sprite bad for stomach ulcers?,1,281,0,0,1
How do I know that I have anorexia and it isn't just a diet?,3,1325,0,3,0
How can I treat the long-term effects of viral meningitis efficiently?,1,242,0,1,0
How does social media negatively affect physical health?,2,251,0,2,0
Does burning fat make you pee?,2,1836,0,2,0
Why do teens often get black stripes for their eyes and get light in the head if they stand up too fast?,2,308,0,2,0
What is a suggested BWAT exercise for the chest?,1,375,0,1,0
Does appendix pain get worse with movement?,1,424,0,1,0
What are the health benefits of Cordyceps Militaris?,1,393,0,0,1
"What is sensation? What are the differences, if any, between the sensations of pleasure and pain?",2,832,0,2,0
Should I take rent from my tenant during coronavirus?,5,364,0,5,0
Is Chyawanprash helpful in a dry cough?,1,204,0,1,0
How do you disinfect food during a coronavirus pandemic?,1,261,0,1,0
Is too much knowledge and news about coronavirus (COVID-19) good for anyone?,2,1366,0,2,0
How do you disinfect a reusable mask without washing it every day?,5,252,0,5,0
What’s the best meal you ever had that protects you against coronavirus?,3,602,0,3,0
Does drinking black coffee make our saliva decrease?,1,566,0,1,0
Are Americans in dire need of food during the terrible coronavirus pandemic?,12,1020,0,12,0
Where do I find all cause mortality compare to recent years? I want to know if this pandemic is actually causing less people to die.,3,600,0,3,0
"My friend says he's sweating and dizzy, but he's been eating and drinking water all day and his temperature is pretty normal. What is wrong?",2,495,0,2,0
Is hydrocephalus a genetic problem?,1,376,0,1,0
"If diet, sleep and training are all on point, how long will a take approximately for a total beginner bodybuilder in his 30s to go from an FFMI of 19 to 22?",1,560,0,1,0
"If coffee is supposed to help you stay awake or gain extra brain energy, shouldn’t you use it only when you need it?",1,352,0,1,0
How do I get my energy back recovering from the coronavirus?,7,2393,0,7,0
Is protein powder bad for health? My parents do not let me consume whey protein saying this reason.,3,125,0,3,0
Is it true that Sweden during the current covid-19 epidemic denies life-saving healthcare for people over 70 and multimorbid people over 60? Why isn’t this a bigger scandal?,1,347,0,1,0
Is the Digit health insurance (godigit.com) by Flipkart and ICICI Lombard worth purchasing?,1,151,0,1,0
How does a vaccine help you after you got infected by Covid19?,6,871,0,5,1
Is it possible to reduce creatine level 1.3 to normal if hypertension is under control and strict diet is maintained?,2,270,1,2,0
Is it okay to brush thrice a day if you brush gently and correctly?,14,1305,0,14,0
Why do I feel the need to press my wrists against a boiling pot?,2,569,0,1,1
"Recently got the tip of my tooth filled with composite at the dentist. My tooth are all healthy and white. After the filling, I noticed that the entire tooth was duller/about a shade yellower. Has this anything to do with the filling?",3,1377,0,3,0
How do you get cold as an ice trait remnant?,1,370,0,1,0
What causes extremely tight muscles?,2,486,0,2,0
What are the best essential oils for dry skin?,3,574,0,3,0
"What do I do if my leg is hot red above and under the burn? It's not sore where the burn is worst, but it hurts the worst around the burn.",3,408,0,3,0
Can swallowing mucus be the cause of diarrhea?,4,2331,0,4,0
Do I still need to wear a mask when I sleep in this COVID-19 period?,3,673,0,3,0
"Every time I finger myself, I feel what seems like a firm shaped penis in the back of my vagina. I had a bladder infection when I was born. Does that correspond to it? I am told I am part of a very fertile family does it have to do with that? Help!",1,385,0,1,0
What helps adrenal fatigue fast?,1,273,0,1,0
Why does cereal make me sleepy?,1,640,0,1,0
What is the connection of a healthy brain with physical exercise and how it helps to remove stress?,2,413,0,2,0
What are the beach’s health benefits?,1,246,0,1,0
"Am I a healthy weight, 37 kg, 155 cm 14-year-old girl?",4,1676,0,4,0
How long does it take for shoulder instability to heal?,2,281,0,2,0
"What is this lump on roof of mouth? I was giving boyfriend a hickey and when I was done, I felt two lumps at top of mouth. I then sucked my mouth in and they popped but no blood. just disappeared.",1,636,0,1,0
"What should I think if told I had covid-19, but doctors refused testing. Been sick off and on 6 mo. fever of 103.7, dry cough, hard time breathing, headache, body ache, fatigue, immune compromised and rhumatologic condition?",2,561,0,2,0
Does mental health insurance exist in first world countries?,4,1118,0,4,0
"What should I do , I have Dental abscess, after cleaning an filling of upper tooth, as it was broken. and after this, the abscess started in the opposite lower jaw gums. Also problem whenever I eat egg or mangoes (any heat causing food I think)?",3,402,0,3,0
Does dehydration cause snoring?,1,8,0,1,0
Are you providing a therapy massage for people with ostheoporosis?,1,109,0,1,0
How do you get and maintain a 6-pack?,3,2150,0,3,0
Can you reverse the effects of too much sugar?,1,994,0,1,0
Is Stevia safe?,25,144130,1,23,2
My father has severe headache and body pain. He also has a little fever about 99F for the past two days. What should I do before consulting a doctor?,2,772,0,2,0
Is there a natural method to cure piles?,2,338,0,2,0
Do I need to take probiotics if my metabolism is already fine?,2,317,0,2,0
"Is it safe to take a sleep supplement which contains melatonin, chamomile extract, l-theanine, etc. together with benzodiazepine drugs for sleep?",1,343,0,1,0
Can a COVID-19 survive on the phone if the infected person has it?,7,1239,0,7,0
Am I going to die if I take 10 tablets at once?,3,681,0,3,0
"If there is not any treatment of coronavirus, then how are people getting cured from it?",2,597,0,2,0
Why is Trump deploying national guardsman to provide pandemic support without any health benefits?,3,759,0,3,0
"If a person has suffered from Sars, then can they have Corona?",1,215,0,1,0
Will this lockdown last until someone comes out with a vaccine?,6,1527,0,6,0
Can Christian missionaries cure corona?,1,1002,0,1,0
No matter what I do I can't stop smoking. What can I do?,5,1279,0,5,0
"Hi so I have vaped and hit a lot of dab pens recently which obviously affects your lungs but with the coronavirus I’m not sure if me having trouble breathing means I might have coronavirus or if it’s just from smoking, Is there anyway to know 100%?",1,876,0,1,0
How long does liposuction surgery take?,2,326,0,2,0
"Before the advent of germ theory, how concerned were people that their food had fallen on the floor? Did they follow the 5-second rule?",1,676,0,1,0
Will swimming pools’ chlorinated water and UV filters kill the novel coronavirus?,3,159,0,3,0
Why do humans have to eat food and drink water to survive? Doesn't that seem a bit abstract?,3,2020,0,3,0
"So my whole life I’ve been skinny, but ive started gaining weight only in my stomach. ive done multiple ab workouts for long periods of time, but nothings giving me results. what should I do?",3,1289,0,3,0
Is this the tick vector of Lyme disease? My boyfriend got bitten.,4,600,0,4,0
"Hard pimple in my leg for 10 months after I tried pop a pimple and didn't did it well, round shape about 1/4 inch most of time is skin color but if messing with it changes color to a brownish, no pain just itchi at times what could be?",3,1610,0,3,0
What is Atezolizumab used for?,1,185,0,1,0
Why is there so much controversy over chiropractics?,1,325,0,1,0
When should I be concerned about jaw pain?,1,583,0,1,0
What are some little known red flags that indicate that a restaurant is unsafe in the outbreak?,1,540,0,1,0
How do I reduce my wrinkles on my knuckles and blackness? I have lot of wrinkles on my knuckles and they are black in color. I compared my hands with few other people and noticed that they are extremely wrinkled .Please provide me a solution for this,1,218,0,1,0
"What is better for lower back pain, chiropractor or physical therapy?",4,694,0,4,0
Why do some doctors not even take care of their health?,1,858,0,1,0
I want to build muscle by working out at home but I do not have any weights. Is there anything I can do to still build muscle in my entire body?,4,6014,1,4,0
Do you agree that home monitoring of oxygen levels could hasten treatment for COVID patients and save more lives?,1,110,0,1,0
Would losing weight eliminate already existing health problems that are present due to being overweight?,2,1351,0,2,0
Is plasma therapy effective for corona?,3,310,0,3,0
What foods and other substances can we add to our diets that have been proven to help reduce the risk of blood clots?,2,446,0,2,0
Is leaky gut a hoax?,1,558,0,1,0
How much weight should a 13 year old female be gaining a month? Is it okay to lose weight at this age?,2,988,0,2,0
Are purchases of masks covered by my health insurance?,2,168,0,2,0
"What is the root-cure for any pandemic, be it a Covid-19 (coronavirus) or any other?",2,405,0,2,0
Does the United States of America now have over one million confirmed cases of coronavirus or COVID-19?,4,1492,0,4,0
Does treading water at the pool help you lose weight?,1,783,0,1,0
Hi. I am not diagnosed but think I have a binge eating disorder but its getting out of control. I have tried hypnosis in the past. Just wondering if anyone has any tips? I do exercise most days. I am just struggling to control my appetite.,2,893,0,2,0
What do I say when my 79 year old husband is falling down from taking 100mg of Benedryl and Temazepam every night and losing his balance from those and a hip replacement?,4,396,0,4,0
Which business sector will have the most adverse effect after coronavirus?,1,169,0,1,0
"Whenever I bend and straighten my knee, such as when going up or down the stairs, it makes a popping noise and hurts. Can this be fixed without surgery?",4,1028,0,4,0
"What do I do with the belongings of a virus infected person, like a laptop, mobile, bed, and other things?",1,202,0,1,0
Can coronavirus spread through faeces?,2,624,0,2,0
How do you heal a PEC minor strain? It has lasted for about 1 year and high repetitions with no weight hasn't helped.,2,253,0,2,0
How much Klonopin is too much?,4,1028,0,4,0
I heard that diagnosing Long QT Syndrome is easy. Is this true?,1,615,0,1,0
Why is it easier to get fat than to get lean?,2,1060,0,2,0
How does emotional and mental pain transfer into physical pain?,1,320,0,1,0
"Why do we have separate multivitamins for men and women? Don’t they contain the same thing? Do men and women just have different nutritional needs, or is this a ploy to make more money by rebranding the same product?",2,1043,0,2,0
Does eating aloo bhujiya namkeen make you fat?,1,307,0,1,0
What will happen if I take 10-20 grams of vitamin C everyday?,5,1892,0,5,0
Are farts supposed to come out on their own?,1,1044,0,1,0
Will the COVID-19 recovered persons be a reason for a second outbreak of the disease since it stays in their body permanently?,2,984,0,2,0
Does missing teeth cause smile lines?,1,769,0,0,1
Why is my abdomen so swollen without medical causes? Could it be witchcraft?,2,931,1,1,1
Do you have immunity to COVID-19 after recovering from the disease?,2,1352,0,2,0
What's the best way to prevent communicable disease from spreading?,9,573,0,9,0
Is the current outbreak of COVID-19 the first of its kind?,3,614,0,3,0
What are two long-term health consequences of making poor food choices?,1,940,0,1,0
Does soap or liquid hand wash have any nutritional info? Can it make you gain weight if you consume it by mistake?,1,399,0,1,0
When did dinner go from an afternoon meal to a nighttime meal?,1,398,0,1,0
"If you only had three meals that you had to eat every day, what would they be?",1,1031,0,1,0
Why do you think nothing has been done to increase the pay of ALL the worker's continuing to risk their health and possibly their lives during the Covid-19 pandemic in the U.S.?,7,800,0,7,0
What would cause me to have symptoms like this? Several times while lying down an intense & extreme lightheartedness very suddenly. I lose conciousness because when I come to I am fighting for breath. After that I have ringing in my ears. Thoughts?,1,489,1,1,0
Why am I unable to breathe through my nose? I had a deviated septum operation a month ago and nothing improved. Only antihistamine works!,2,472,0,2,0
"Should I get a tetanus shot after I cut myself with a rusty metal? It is not a deep wound, just a scratch.",9,1081,0,9,0
Which meal delivery service is healthiest?,1,316,0,1,0
Is scuba diving bad for your health?,3,646,0,3,0
Does hypothyroidism cause osteoarthritis?,2,928,0,2,0
"Concentration lost after eating chicken, why?",1,313,0,1,0
Will the coronavirus end up being very similar to the flu?,3,793,0,3,0
"Sometimes I accidentally poop in my underwear a little, while playing video games. A lot of my underwear are brown. How can I hide the accidents from my dad?",3,558,1,3,0
Are the tobacco companies responsible for propaganda that cigarette smokers are less likely to get coronavirus?,2,293,0,2,0
"Yesterday after work my eyes and the area around them are super itchy suddenly, is this due to working on the computer the whole day? I can't resist rubbing my eyes and now they're sore and puffy, what do I do? Is this a virus?",4,1049,0,4,0
Is a lack of free drinking water at work still an OSHA violation during a pandemic?,1,168,0,1,0
How does the Vidalista tablet work for ED?,1,216,0,1,0
"Sir do you think it is safe for a person to go out in this scenario, even if he takes all the necessary precautions, given he's currently on immunosuppressive therapy?",4,103,0,4,0
Do natural cleaning hacks really work?,1,474,0,1,0
How do you look after your health and fitness when working from home?,3,557,0,3,0
What is the minimum amount of sleep you can survive on?,1,542,0,1,0
Can you get infected with a corona virus if you are wearing a mask?,3,191,0,3,0
Can a juice 'detox' kill you?,2,1089,0,2,0
What are the implications of a lot of old people dying at once due to COVID 19?,3,1073,1,3,0
How can we overcome the coronavirus outbreak when our measures don’t seem to show efficiency? If you look at the daily increase of infections plot you will find that it is more than a month we have 70k-100k new cases daily despite of self-isolation.,4,1521,1,4,0
"If we’ve been in quarantine, hasn’t the coronavirus run its course? How does someone coming out of quarantine infect someone else?",9,2113,0,9,0
Would the ambulance people help with other injuries and non-coronavirus related health issues at home if you are too scared to go to the hospital?,2,675,0,2,0
What are some good bodyweight exercises for cardiovascular fitness?,4,551,0,4,0
Which food has anti-aging vitamins?,4,736,0,4,0
I’m not gaining any muscle because my food isn’t getting digested which turns into stool in the morning. What should I do?,4,1452,0,4,0
What is the weird cramping feeling I sometimes get in the left side of my mid-section during some types of cardio such as fast-paced deep forward lunges?,1,459,0,1,0
"Is the new disease in the UK which is affecting infants the same Coronavirus, or is it a new syndrome?",1,2271,0,1,0
"I got a small cut from a rusty metal, it's not deep, just a scratch. I washed it with anti-bacterial soap and a running water, applied it with betadine and dressed it with band aid, will I be safe from tetanus?",3,2107,0,3,0
Is it true Corona Virus can be controlled by drinking hot water frequently and breathing water vapour from a vaporiser. I have received many WhatsApp forwards saying that wuhan also practised the same method?,11,1924,0,11,0
What dangers could occur with trying to expedite clinical trials for a vaccine that could prove effective against the COVID-19?,5,493,0,5,0
How has Iran managed to have such a large number of patients recover from COVID 19?,1,138,0,1,0
Which is the best source of vitamin C during this lockdown?,7,1237,0,7,0
Is it normal to faint due to pregnancy? What causes pregnancy dizziness (feeling faint)?,2,897,0,2,0
What vitamins do you take daily that have actually made a change in your life?,8,9575,0,8,0
Why is Patanjali not making a Corona vaccine?,5,1890,0,5,0
"What are some problems that have no/poor solution? Specifically, what are some examples in healthcare and the world of science?",5,372,0,5,0
Which types of yoga are effective for spondylosis?,2,690,0,2,0
"If a witch poisoned me with a drink that I do not know but have no symptoms and this happened a year ago, does it mean that it was not dangerous for my health?",1,135,1,1,0
How long does it take for water to reach your bladder with only one kidney?,2,149,0,2,0
Should you put sunscreen on your baby? What effects does it have on a child?,1,318,0,1,0
Does smoking affect your mental health?,6,1532,0,6,0
What causes pee to spray in 2-3 streams instead of one straight line?,4,12254,0,4,0
What is the silliest coronovirus cure you have heard?,8,1729,0,8,0
Can lack of caffeine cause migraines?,2,686,0,2,0
"If we have an infection, such as an ear infection, and recover, does this boost our immune system?",4,300,0,4,0
Does stress increase blood glucose?,1,832,0,1,0
What is the main benefit of Kapalbhati on the mind?,3,455,0,3,0
Do allergies cause dizziness?,2,247,0,1,1
Is it appropriate to extrapolate current infection statistics to a natural herd immunity scenario?,1,443,0,1,0
Isn't COVID-19 all about who has better immunity as there is no official vaccine and patients are still recovering?,1,411,0,1,0
What happened to the woman who volunteered to get the trial vaccine for covid-19?,1,261,0,1,0
Can thyroid problems affect your breathing?,1,723,0,1,0
Is it okay to exercise after Sahoor rather than doing it before Sahoor?,2,356,1,2,0
How long can a cavity wait to get filled?,1,474,0,1,0
"Is it better to die of slow blood loss or fast blood loss, and why? What will happen in each case?",1,1530,0,1,0
Can disease change the behavior of humanity?,7,1463,0,7,0
Why does water taste sweet and my tummy feel harder after missing my period?,1,962,1,1,0
Will LPI dry eye treatment bring down the inflammation in my pingecula?,1,405,0,1,0
Is the corona patient recovery rate improving in India?,2,444,0,2,0
Do you think the minimum age to donate blood should be lowered as long as the child weighs an appropriate amount?,3,300,0,3,0
What happens to the brain during fasting in the morning?,4,745,0,4,0
Is there any possibility for someone to not wake up because their soul has gone too far while they're asleep?,4,754,0,4,0
Can stress and anxiety cause migraines?,4,693,0,4,0
What happens and what is the reason why the diastolic drops at 60 and the systolic goes to 145?,1,252,0,1,0
Are cigars harmful if not inhaled?,1,620,0,1,0
How do I clean up transient vomit and poop without getting COVID-19?,2,1403,1,2,0
"Why is it that when I’m hungry and I see food, I instantly feel sick and my body convinces me I'm no longer hungry?",1,532,0,1,0
What are problems associated with weight gain and polycystic ovary syndrome (PCOS)?,1,265,0,1,0
What happens to your body after 48 hours of not smoking?,1,1415,0,1,0
"Are there any household toxins that cause tingling numbness of the extremities, high blood pressure, and psychological problems?",1,173,0,1,0
"What supplement powder can I mix in my protein shake? For example can I mix Glutamine, BCCA, Beta-alanine and creatinine in my protein shake? Thank you",5,390,0,5,0
"Should humanity coexist with the Covid-19 like the common cold, or should we be vaccinated against it like polio or smallpox?",1,139,0,1,0
"With regard to calories burned and overall health, how can I make sure I'm pedaling on my recumbent bike fast enough to equal doing a brisk walk?",3,814,0,3,0
I have 3 coronavirus symptoms. My symptoms aren’t severe. What should I do?,2,1555,0,2,0
"Why does waking up my own tears cause pain in my eyes, as if they burned?",1,217,0,1,0
"Considering the fact that being overweight (BMI 25 to 30) has no negative effect on health, should we adjust the definition of overweight?",4,693,1,4,0
What does the C A 125 blood test level 16 mean?,1,1308,0,1,0
What are some bodybuilding secrets no one would tell?,2,607,0,2,0
Can sitting close to a cat’s litter box that's not cleaned every day cause illness?,3,461,0,3,0
Doesn't it make sense for the UN to require certain countries to stop handling viruses in the name of scientific research?,4,664,0,4,0
Has Puri recovered after Foni?,1,453,0,1,0
If you ingest Coronavirus through food do you get infected?,4,2213,0,4,0
"Is it okay for a 16-year-old boy to eat 119:143:90 (Protein: Carbohydrates: fat, 1,700 kcal diet), 76 kilograms, 1.80m, want to lose fat, not very active?",1,678,0,1,0
How long does it take to repair damage from smoking exercise?,1,708,0,1,0
Will low temperature make the coronavirus worse?,9,3510,0,9,0
"Why are my lungs wheezing with a dry cough after walking/running? I’m way over weight, I’m a smoker and I have asthma. I’m on day two and my lungs feel weird! HELP. I’m freaking myself out thinking I have covid-19",6,1915,0,6,0
"Now that the number of cases of coronavirus has crossed 30k in India, should the lockdown be extended till the end of June?",5,1650,0,5,0
"Is it possible for me to be fat phobic with myself? I mean I’m not fat, but gaining weight is my biggest fear and being fat is my nightmare.",4,750,0,4,0
How second opinion works?,2,82,0,2,0
Where do all removed/unwanted body parts go in a hospital?,3,1322,0,3,0
What is the best way to treat cancer?,2,793,0,2,0
What is the effect of convalescent plasma therapy on coronavirus victims?,1,99,0,1,0
"If a covid 19 patient has sneezed on you, then what are the chances of getting infected from it?",4,1201,1,4,0
How is physical distancing going to impact the gathering of communities post-crisis?,3,296,0,3,0
Why do we never remember how we went to sleep?,1,486,0,1,0
How many types of bodybuilders are there?,1,1303,0,1,0
How much would you like to use a pulse oximeter to measure the amount of oxygen in your blood during the Covid19?,1,454,0,1,0
What do you think daily life would be like if we never found a cure?,3,466,1,3,0
Can wearing a hat help hair and scalp health?,1,708,0,1,0
"Would it be possible, as an alternative to vaccine, to let virus that has been genetically modified spread in order to create herd immunity against sars-cov-2 without symptoms (same effect than a vaccine but spread by itself) ? And why not?",8,1694,0,8,0
What is the difference between a secondary infection and reinfection?,2,194,0,2,0
Is overthinking a cause of hypertension?,5,1567,0,5,0
Depressed when listening to the weeknd? For me it brings back memories of a very low point in my life when I started listening to his music. I'm back to it and just can't stop the rampant depression I feel is kicking. Anyone else?,2,615,0,2,0
What happens if I delete music app?,1,353,0,1,0
Who is Amanda Cerny? What is her net worth in 2020?,3,3258,0,3,0
Do stadiums provide an essential service that they'd be opened for sports and music concerts when lockdown is over?,4,310,0,4,0
What is the difference between a dholak and a naal? Are dholki and naal the same?,1,85,0,1,0
"What is your review on ""Eight"", a new song by IU (prod. and feat SUGA of BTS)?",2,1654,0,2,0
Why doesn't anyone talk about Katy Perry anymore?,4,1201,0,4,0
"Which sporting identity co-wrote the 1988 single ""Anfield Rap""?",1,313,0,0,1
What song has a gun theme in its title or lyrics?,42,11039,0,42,0
"Is Hearts and Bones Paul Simon's most underrated albums? Rene and Georgette and The Late Great Johnny Ace, in my opinion, rate with the best of his songs.",3,444,0,3,0
Would a singer like Sinatra be able to make it today?,5,693,1,5,0
Can I become a K-pop idol if I have vitiligo? I am good in writing lyrics and producing music. Do I have hopes?,2,259,0,2,0
How does artificial intelligence fit into the music industry?,2,126,0,2,0
Have your parents ever got rid of something from your childhood that could have been worth a lot of money now?,5,1843,0,5,0
Do you feel it’s important to be able to play an instrument in order to become a professional recording vocal artist?,12,695,0,12,0
What do guys think are BTS members’ individual charms?,1,451,0,1,0
Taylor Swift’s singing style reminds me of Dusty Springfield. Do you think that Taylor is probably the superior vocalist of these two women?,2,857,1,2,0
Where does Spotify store offline music?,1,379,0,1,0
Hey do you wanna have a buddy?,4,1447,0,4,0
"When a fan of a musician makes a fan-made video (assume posted on YouTube), does the creator of the video get the monetisation or the artist who made the music? E.g lyric videos, AMVs, etc. What happens usually?",1,277,1,1,0
"Which musicians feature on the cover of Nirvana's 1989 album ""Bleach""?",2,495,0,1,1
Why is Twenty One Pilots so Additvie?,1,391,0,1,0
"What tips do you have for learning ten bugle calls for the bugling merit badge? I've played French Horn for years, and thought this would be easy, but it is hard to hit the high notes.",3,851,0,3,0
Why do I cry whenever I hear a song that was significant for my parents (ex: wedding songs)?,2,575,0,2,0
"Is there a word for a government ruled by poets or musicians? If there's not, what would be a good term for this?",2,1224,0,2,0
What is the verse that begins the Song of Solomon?,2,804,0,2,0
"As an intermediate bass player, will it be difficult to learn guitar?",12,1625,0,12,0
How do you complete मेरा कॉलर आईडी छुपाए?,3,430,0,3,0
What is Jamaican reggae?,1,100,0,1,0
Is sheet music the same for all instruments?,2,225,0,2,0
What are some tips for getting better at counting odd time signatures?,3,402,0,3,0
Are jazz drummers always thinking about two or four bar phrases when comping?,2,383,0,2,0
Why have rappers stopped doing large-group collaborations for songs?,1,219,0,1,0
"What is that DJ song that has in the chorus ""oh whoa whoa oh"" (and maybe ""we are the one we gonna lose control oh whoa whoa oh"" I don't really remember that exactly same words but my brain replace for this) its sound like a feminine voice?",1,235,0,1,0
What Led Zeppelin songs are in the movie “Almost Famous”?,1,689,0,1,0
What is a musical theatre song that features a battle scene and 2 characters that are working together?,3,270,0,3,0
Why did George Harrison have such a hard time including his songs on Beatle albums? Why did the Beatles not simply release more albums which would have Harrison more sings per album?,4,2396,0,4,0
Is Paul McCartney's house in Liverpool a museum?,1,364,0,1,0
